,name,y_preds,y_preds_sc,error,error_sc,uq_sc,uq
0,metal_co_ox_2_spin_2_ligstr_C2H6P2_C2H6P2_C2H6P2_C2H6P2_C2H6P2_C2H6P2,14.788893,-0.109481424,0.9421096177145092,0.1933622589357152,0.1233602497347978,0.6013058138937074
2,metal_co_ox_2_spin_2_ligstr_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2],15.006027,-0.064915836,0.3688736673042392,0.0757091477880018,0.1390140246124516,0.6776083981017655
12,metal_co_ox_3_spin_5_ligstr_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3],19.658106,0.88989484,-0.531767764290084,-0.1091420285427792,0.1472175992759263,0.717595810177075
24,metal_mn_ox_2_spin_6_ligstr_[SH]-[OH]_[SH]-[OH]_[SH]-[OH]_[SH]-[OH]_[SH]-[OH]_[SH]-[OH],15.716215,0.0808459,0.3664088215501113,0.0752032605821205,0.1333420287012486,0.6499608850242556
26,metal_mn_ox_3_spin_5_ligstr_[N]#[P]_[N]#[P]_[N]#[P]_[N]#[P]_[N]#[P]_[N]#[P],20.235731,1.008449,0.9143137519448814,0.1876574225150321,0.1439978983451436,0.7019017361715446
27,metal_co_ox_2_spin_2_ligstr_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH],16.231619,0.18662913,-0.8371183266298843,-0.1718135684690174,0.1521964098204031,0.741864468299163
30,metal_co_ox_2_spin_4_ligstr_[OH]-[OH]_[OH]-[OH]_[OH]-[OH]_[OH]-[OH]_[OH]-[OH]_[OH]-[OH],17.511656,0.44934905,-0.4977591553881311,-0.1021620141474634,0.1442818004175871,0.7032855852404607
35,metal_co_ox_3_spin_5_ligstr_[N]#[N]_[N]#[N]_[N]#[N]_[N]#[N]_[N]#[N]_[N]#[N],26.921545,2.3806713,-0.4349188316760219,-0.0892644561776525,0.1209309850668679,0.5894646335179128
37,metal_cr_ox_2_spin_1_ligstr_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2],15.165636,-0.03215722,0.3839622028129366,0.0788058542863453,0.1392185172050924,0.6786051744954373
39,metal_cr_ox_2_spin_5_ligstr_C2H6S2_C2H6S2_C2H6S2_C2H6S2_C2H6S2_C2H6S2,14.059755,-0.25913253,-0.2428872498986365,-0.0498512166081461,0.1461927221405585,0.7126001605950724
