,name,y_preds,y_preds_sc,v,alpha,beta,error,error_sc,uq_ale_sc,uq_epi_sc,uq_ale,uq_epi
0,metal_co_ox_2_spin_2_ligstr_C2H6P2_C2H6P2_C2H6P2_C2H6P2_C2H6P2_C2H6P2,14.571196,-0.15416254,0.7177944,3.095185,0.0062192404,0.7244124741598217,0.1486811419971242,0.054482557281538294,0.06430688177200126,0.2655691644562608,0.31345674125992007
2,metal_co_ox_2_spin_2_ligstr_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2],14.949404,-0.07653763,0.718066,3.3174117,0.0034996674,0.3122502084419345,0.0640873521933096,0.03886080460778445,0.04585953074807593,0.18942266891874385,0.2235371809033935
12,metal_co_ox_3_spin_5_ligstr_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3],20.152205,0.9913055,0.23191659,2.3843908,0.0084561845,-0.0376691009600058,-0.0077314011776669,0.0781551989111861,0.16229007627853823,0.3809588225732881,0.7910649225607961
24,metal_mn_ox_2_spin_6_ligstr_[SH]-[OH]_[SH]-[OH]_[SH]-[OH]_[SH]-[OH]_[SH]-[OH]_[SH]-[OH],15.40333,0.016628053,0.711359,3.194544,0.004411994,0.0535235371262832,0.0109854137415005,0.044837904764685,0.053161949058078896,0.2185573787000217,0.2591320065845061
26,metal_mn_ox_3_spin_5_ligstr_[N]#[P]_[N]#[P]_[N]#[P]_[N]#[P]_[N]#[P]_[N]#[P],19.838423,0.9269039,0.21580549,2.3945901,0.0061846524,0.5170054023355064,0.106112367602465,0.0665938860909459,0.1433517881155361,0.324604489390601,0.6987523437350474
27,metal_co_ox_2_spin_2_ligstr_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH],16.107323,0.1611181,0.643743,3.282107,0.0026660773,-0.9614145149843764,-0.1973245948514637,0.0341797094824686,0.042600246022767095,0.16660519148745495,0.2076501600950178
30,metal_co_ox_2_spin_4_ligstr_[OH]-[OH]_[OH]-[OH]_[OH]-[OH]_[OH]-[OH]_[OH]-[OH]_[OH]-[OH],17.440826,0.43481165,0.46010283,2.7471738,0.0067761457,-0.5685885468676233,-0.1166994081942468,0.06227637333865098,0.0918112417441036,0.3035592537892108,0.447523684170666
35,metal_co_ox_3_spin_5_ligstr_[N]#[N]_[N]#[N]_[N]#[N]_[N]#[N]_[N]#[N]_[N]#[N],26.426075,2.2789793,0.02852013,1.7978259,0.0019316063,-0.9303888786730924,-0.1909564174661047,0.04920454737999971,0.29135970639419795,0.23984209235315965,1.4202004759704614
37,metal_cr_ox_2_spin_1_ligstr_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2],14.935057,-0.07948227,0.69299394,3.1511996,0.0046787197,0.1533828265922334,0.0314808019653881,0.04663620037053796,0.0560219783205749,0.22732297057603965,0.27307290105531123
39,metal_cr_ox_2_spin_5_ligstr_C2H6S2_C2H6S2_C2H6S2_C2H6S2_C2H6S2_C2H6S2,14.2964115,-0.21056013,0.66091144,2.983214,0.0064729303,-0.0062310609337927,-0.0012788104353937,0.05713019093443597,0.07027389749973147,0.27847476015642025,0.342542295613068
