,name,y_preds,y_preds_sc,v,alpha,beta,error,error_sc,uq_ale_sc,uq_epi_sc,uq_ale,uq_epi
0,metal_co_ox_2_spin_2_ligstr_C2H6P2_C2H6P2_C2H6P2_C2H6P2_C2H6P2_C2H6P2,14.469928,-0.17494698,0.474316,2.457918,0.0032771255,0.6231446595235912,0.1278967043407216,0.04741109520219333,0.0688408303760649,0.23110010922833865,0.33555696934295126
2,metal_co_ox_2_spin_2_ligstr_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2],14.829222,-0.10120422,0.4384351,2.6145554,0.0014044855,0.1920681710884189,0.039420767165138,0.029493896656423033,0.04454300336446087,0.14376471814878833,0.2171199146314795
12,metal_co_ox_3_spin_5_ligstr_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3],20.016617,0.9634768,0.13763416,1.8545678,0.0028307817,-0.173256793220748,-0.0355600945675594,0.05755458508091507,0.15513750729714415,0.2805434222109229,0.7562005207617225
24,metal_mn_ox_2_spin_6_ligstr_[SH]-[OH]_[SH]-[OH]_[SH]-[OH]_[SH]-[OH]_[SH]-[OH]_[SH]-[OH],15.406203,0.017217811,0.4929616,2.427327,0.0040560653,0.0563969578416152,0.0115751718992306,0.05330779617728723,0.07592489207315498,0.2598429221420553,0.3700874400059042
26,metal_mn_ox_3_spin_5_ligstr_[N]#[P]_[N]#[P]_[N]#[P]_[N]#[P]_[N]#[P]_[N]#[P],20.258844,1.0131928,0.12028186,1.7127774,0.0038137748,0.9374270026773032,0.1924012369834159,0.07314768093085677,0.21091161354582105,0.35655023324874874,1.0280651969775527
27,metal_co_ox_2_spin_2_ligstr_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH],16.002058,0.13951331,0.41892052,2.4546046,0.0019072468,-1.0666791786806655,-0.2189293861350712,0.03621020379933863,0.055945499040502236,0.17650261014895166,0.27270011131267563
30,metal_co_ox_2_spin_4_ligstr_[OH]-[OH]_[OH]-[OH]_[OH]-[OH]_[OH]-[OH]_[OH]-[OH]_[OH]-[OH],17.433819,0.43337336,0.29385537,2.1672416,0.003229323,-0.5755961457445764,-0.1181376980749994,0.05259874284336634,0.09703056237148823,0.25638672054580414,0.4729646819359003
35,metal_co_ox_3_spin_5_ligstr_[N]#[N]_[N]#[N]_[N]#[N]_[N]#[N]_[N]#[N]_[N]#[N],26.502733,2.2947128,0.013552662,1.3102306,0.0005255035,-0.8537306297717251,-0.1752229370126135,0.041157168613662795,0.3535356275963487,0.20061603980214754,1.723270086995285
37,metal_cr_ox_2_spin_1_ligstr_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2],15.088568,-0.047975045,0.4649356,2.4526758,0.0031166591,0.3068938739555147,0.0629880295352066,0.04631912002452868,0.06793035737676988,0.2257773977036055,0.3311189699951362
39,metal_cr_ox_2_spin_5_ligstr_C2H6S2_C2H6S2_C2H6S2_C2H6S2_C2H6S2_C2H6S2,14.22243,-0.22574438,0.43705606,2.385267,0.003373922,-0.0802123460290076,-0.0164630638896021,0.04935154744966553,0.0746504107413191,0.24055862783945176,0.36387512253589727
